KEPLER_ID,DR16_TEFF_COR,DR16_TEFF_COR_ERR,DR17_TEFF_COR,DR17_TEFF_COR_ERR,APOKASC3_EVSTATE,APOKASC3_SEIS_SOURCE,APOKASC3_SPEC_SOURCE,APOKASC3_MASS,APOKASC3_MASS_ERR,APOKASC3_RADIUS,APOKASC3_RADIUS_ERR,APOKASC3_LOGG,APOKASC3_LOGG_ERR,APOKASC3_TEFF,APOKASC3_TEFF_ERR,APOKASC3_LOGG_SPEC,APOKASC3_LOGG_SPEC_ERR,APOKASC3_M_H,APOKASC3_M_H_ERR,APOKASC3_ALPHA_M,APOKASC3_ALPHA_M_ERR,APOKASC3_CAT_AGE,APOKASC3_AGE_RGB,APOKASC3_AGE_RGB_PERR,APOKASC3_AGE_RGB_MERR,GAIA_TEFF,GAIA_RADIUS,GAIA_LUMINOSITY
10000162,4810.225,100.30278,4750.7637,11.064139,RGB,WAvg,DR17,1.0742,0.044,5.1429,0.0945,3.0485,0.0045,4750.7637,53.1605,2.9911,0.058,0.0804,0.058,0.0359,0.022,RGB,9.5078,1.4128,-1.2206,4886.6577,5.6766586,16.554953
10000198,4840.1226,104.49033,4865.2046,13.11766,RGB,WAvg,DR17,1.1102,0.0454,5.4775,0.1005,3.008,0.0046,4865.2046,55.3799,3.0386,0.058,-0.1602,0.058,0.0647,0.022,RGB,7.135,1.0372,-0.8524,4955.6665,5.4231887,15.981311
10000207,4694.4546,87.63603,4714.3325,9.050632,RGB,WAvg,DR17,1.054,0.0406,6.1571,0.1066,2.8839,0.004,4714.3325,46.4471,2.8698,0.058,-0.2319,0.058,0.2159,0.022,RGB,8.8137,1.2307,-1.0857,4905.2666,5.3604712,14.9882555
10000547,4956.6553,94.202736,4939.567,10.411935,RGB,WAvg,DR17,1.1397,0.0436,4.8668,0.084,3.1221,0.004,4939.567,49.9275,3.1476,0.058,-0.2742,0.058,0.0952,0.022,RGB,5.9885,0.8054,-0.6402,4952.46,4.881617,12.915346
10001326,4650.991,86.61079,4649.9917,8.634691,RGB,WAvg,DR17,1.2174,0.0469,9.3695,0.1624,2.5817,0.004,4649.9917,45.9037,2.5769,0.058,-0.0963,0.058,0.0408,0.022,RGB,5.3907,0.613,-0.4929,4869.8047,8.756108,38.8475
10001440,4721.9844,98.12425,4750.2197,11.711913,RGB,WAvg,DR17,0.9482,0.0365,8.5217,0.1475,2.5553,0.0042,4750.2197,52.0059,2.4996,0.058,-0.6552,0.058,0.3028,0.022,RGB,10.0665,1.5825,-1.2631,4977.75,7.628748,32.190933
10003349,4683.662,88.16074,4671.34,8.939175,RGB,WAvg,DR17,1.3773,0.0531,9.8369,0.1705,2.5931,0.004,4671.34,46.7252,2.6277,0.058,-0.0492,0.058,0.0279,0.022,RGB,3.7948,0.4298,-0.3323,4694.6104,10.917146,52.15682
10003497,4599.2466,80.31438,4615.7476,7.4394317,RGB,WAvg,DR17,1.1867,0.0458,12.1523,0.2108,2.3408,0.0038,4615.7476,42.5666,2.4042,0.058,-0.1903,0.058,0.0743,0.022,RGB,5.6234,0.683,-0.5678,4720.2524,10.944278,53.571007
10004825,4694.1216,89.942345,4653.666,9.103895,RGB,WAvg,DR17,1.688,0.0651,10.0175,0.1737,2.6656,0.0041,4653.666,47.6694,2.7126,0.058,0.181,0.058,0.0257,0.022,RGB,2.2867,0.2219,-0.1879,4806.7476,9.497579,43.383617
10006097,4829.52,93.91063,4795.506,11.741536,RGB,WAvg,DR17,1.099,0.0422,5.1385,0.0889,3.0591,0.0041,4795.506,49.7726,3.0803,0.058,-0.0276,0.058,0.0554,0.022,RGB,8.1643,1.1403,-0.9563,5004.34,4.5984993,11.94852
10006828,4553.237,93.544556,4577.8745,10.509741,RGB,WAvg,DR17,1.0271,0.0397,12.9303,0.2244,2.2208,0.0042,4577.8745,49.5786,2.3201,0.058,-0.5819,0.058,0.269,0.022,RGB,7.6746,1.0842,-0.9137,4816.51,11.700176,66.375725
10011329,4677.39,81.52847,4667.6113,7.525932,RGB,WAvg,DR17,1.7032,0.0712,12.803,0.2393,2.4548,0.0042,4667.6113,43.2101,2.4343,0.058,-0.0748,0.058,0.0162,0.022,RGB,1.8774,0.1725,-0.1413,4730.83,13.635022,83.89881
10014893,4618.0073,80.51807,4611.723,7.3620276,RGB,WAvg,DR17,1.4454,0.0558,13.6504,0.2368,2.3251,0.0039,4611.723,42.6746,2.3475,0.058,-0.16,0.058,0.0328,0.022,RGB,3.0133,0.3095,-0.2676,4791.0,12.475763,73.88116
10014959,4737.929,81.80172,4713.6606,10.181369,RGB,WAvg,DR17,1.0354,0.0399,4.501,0.078,3.1483,0.0038,4713.6606,43.3549,3.1124,0.058,0.1164,0.058,0.0759,0.022,RGB,11.3016,1.667,-1.3387,4831.337,4.398955,9.498674
10016093,4589.284,82.28966,4618.82,10.745734,RGB,WAvg,DR17,1.0259,0.0396,10.6571,0.1848,2.3928,0.0039,4618.82,43.6135,2.3629,0.058,-0.4482,0.058,0.2066,0.022,RGB,8.2453,1.1822,-1.0138,4628.7803,10.309737,43.95985
